Player,Mode,Team,Event,Vs Who,Date,Group / Bracket,Map ID,Series ID,Map,Result,Role,Kills,Death,K/D,Plus / Minus,Hill Time,Assists,% of Team Kills,% of Team Deaths
ACHES,HP,LAG,LW,MIN,1/24/2020,G,#00010,#00003,St Petro,W,Flex,20.0,29.0,0.69,-9.0,-,-,16.5%,23.4%
ACHES,HP,LAG,LW,MIN,1/24/2020,G,#00013,#00003,Hackney,L,Flex,20.0,30.0,0.67,-10.0,-,-,20.4%,22.6%
Alexx,HP,MIN,LW,LAG,1/24/2020,G,#00013,#00003,Hackney,W,SMG,30.0,18.0,1.67,12.0,-,-,22.6%,18.4%
Alexx,HP,MIN,LW,LAG,1/24/2020,G,#00010,#00003,St Petro,L,SMG,19.0,19.0,1.0,0.0,-,-,15.3%,15.7%
Apathy,HP,SEA,LW,FL,1/24/2020,G,#00008,#00002,Azhir,L,SMG,35.0,23.0,1.52,12.0,22,-,27.6%,17.7%
Apathy,HP,SEA,LW,FL,1/24/2020,G,#00005,#00002,St Petro,W,SMG,19.0,25.0,0.76,-6.0,51,-,14.6%,22.7%
AquA,HP,LAG,LW,MIN,1/24/2020,G,#00010,#00003,St Petro,W,AR,25.0,22.0,1.14,3.0,-,-,20.7%,17.7%
AquA,HP,LAG,LW,MIN,1/24/2020,G,#00013,#00003,Hackney,L,AR,23.0,22.0,1.05,1.0,-,-,23.5%,16.5%
Arcitys,HP,CHI,LW,DAL,1/24/2020,G,#00004,#00001,Gun Runner,W,Flex,40.0,23.0,1.74,17.0,-,-,26.0%,16.9%
Arcitys,HP,CHI,LW,DAL,1/24/2020,G,#00001,#00001,Azhir,W,Flex,32.0,19.0,1.68,13.0,-,-,21.9%,14.0%
Asim,HP,MIN,LW,LAG,1/24/2020,G,#00013,#00003,Hackney,W,SMG,24.0,20.0,1.2,4.0,-,-,18.0%,20.4%
Asim,HP,MIN,LW,LAG,1/24/2020,G,#00010,#00003,St Petro,L,SMG,23.0,25.0,0.92,-2.0,-,-,18.5%,20.7%
Assault,HP,MIN,LW,LAG,1/24/2020,G,#00010,#00003,St Petro,L,AR,32.0,23.0,1.39,9.0,-,-,25.8%,19.0%
Assault,HP,MIN,LW,LAG,1/24/2020,G,#00013,#00003,Hackney,W,AR,24.0,17.0,1.41,7.0,-,-,18.0%,17.3%
Clayster,HP,DAL,LW,CHI,1/24/2020,G,#00001,#00001,Azhir,L,AR,27.0,30.0,0.9,-3.0,-,-,20.0%,21.0%
Clayster,HP,DAL,LW,CHI,1/24/2020,G,#00004,#00001,Gun Runner,L,AR,26.0,34.0,0.76,-8.0,-,-,18.7%,22.2%
Crimsix,HP,DAL,LW,CHI,1/24/2020,G,#00001,#00001,Azhir,L,Flex,35.0,26.0,1.35,9.0,-,-,25.9%,18.2%
Crimsix,HP,DAL,LW,CHI,1/24/2020,G,#00004,#00001,Gun Runner,L,Flex,30.0,31.0,0.97,-1.0,-,-,21.6%,20.3%
Decemate,HP,LAG,LW,MIN,1/24/2020,G,#00013,#00003,Hackney,L,SMG,21.0,30.0,0.7,-9.0,-,-,21.4%,22.6%
Decemate,HP,LAG,LW,MIN,1/24/2020,G,#00010,#00003,St Petro,W,SMG,16.0,26.0,0.62,-10.0,-,-,13.2%,21.0%
Enable,HP,SEA,LW,FL,1/24/2020,G,#00005,#00002,St Petro,W,SMG,30.0,23.0,1.3,7.0,61,-,23.1%,20.9%
Enable,HP,SEA,LW,FL,1/24/2020,G,#00008,#00002,Azhir,L,SMG,30.0,30.0,1.0,0.0,43,-,23.6%,23.1%
Envoy,HP,CHI,LW,DAL,1/24/2020,G,#00004,#00001,Gun Runner,W,SMG,25.0,31.0,0.81,-6.0,-,-,16.2%,22.8%
Envoy,HP,CHI,LW,DAL,1/24/2020,G,#00001,#00001,Azhir,W,SMG,21.0,30.0,0.7,-9.0,-,-,14.4%,22.1%
FormaL,HP,CHI,LW,DAL,1/24/2020,G,#00001,#00001,Azhir,W,AR,31.0,24.0,1.29,7.0,-,-,21.2%,17.6%
FormaL,HP,CHI,LW,DAL,1/24/2020,G,#00004,#00001,Gun Runner,W,AR,30.0,25.0,1.2,5.0,-,-,19.5%,18.4%
Frosty,HP,FL,LW,SEA,1/24/2020,G,#00005,#00002,St Petro,L,Flex,23.0,26.0,0.88,-3.0,32,-,20.9%,20.0%
Frosty,HP,FL,LW,SEA,1/24/2020,G,#00008,#00002,Azhir,W,Flex,23.0,31.0,0.74,-8.0,24,-,17.7%,24.4%
GodRx,HP,MIN,LW,LAG,1/24/2020,G,#00013,#00003,Hackney,W,Flex,31.0,20.0,1.55,11.0,-,-,23.3%,20.4%
GodRx,HP,MIN,LW,LAG,1/24/2020,G,#00010,#00003,St Petro,L,Flex,26.0,28.0,0.93,-2.0,-,-,21.0%,23.1%
Gunless,HP,CHI,LW,DAL,1/24/2020,G,#00001,#00001,Azhir,W,Flex,32.0,28.0,1.14,4.0,-,-,21.9%,20.6%
Gunless,HP,CHI,LW,DAL,1/24/2020,G,#00004,#00001,Gun Runner,W,Flex,24.0,29.0,0.83,-5.0,-,-,15.6%,21.3%
Havok,HP,FL,LW,SEA,1/24/2020,G,#00008,#00002,Azhir,W,SMG,23.0,24.0,0.96,-1.0,48,-,17.7%,18.9%
Havok,HP,FL,LW,SEA,1/24/2020,G,#00005,#00002,St Petro,L,SMG,21.0,23.0,0.91,-2.0,60,-,19.1%,17.7%
Huke,HP,DAL,LW,CHI,1/24/2020,G,#00004,#00001,Gun Runner,L,SMG,27.0,28.0,0.96,-1.0,-,-,19.4%,18.3%
Huke,HP,DAL,LW,CHI,1/24/2020,G,#00001,#00001,Azhir,L,SMG,29.0,33.0,0.88,-4.0,-,-,21.5%,23.1%
iLLey,HP,DAL,LW,CHI,1/24/2020,G,#00004,#00001,Gun Runner,L,Flex,27.0,31.0,0.87,-4.0,-,-,19.4%,20.3%
iLLey,HP,DAL,LW,CHI,1/24/2020,G,#00001,#00001,Azhir,L,Flex,23.0,30.0,0.77,-7.0,-,-,17.0%,21.0%
Karma,HP,SEA,LW,FL,1/24/2020,G,#00005,#00002,St Petro,W,Flex,34.0,21.0,1.62,13.0,69,-,26.2%,19.1%
Karma,HP,SEA,LW,FL,1/24/2020,G,#00008,#00002,Azhir,L,Flex,21.0,24.0,0.88,-3.0,25,-,16.5%,18.5%
Lacefield,HP,LAG,LW,MIN,1/24/2020,G,#00010,#00003,St Petro,W,Flex,29.0,22.0,1.32,7.0,-,-,24.0%,17.7%
Lacefield,HP,LAG,LW,MIN,1/24/2020,G,#00013,#00003,Hackney,L,Flex,12.0,27.0,0.44,-15.0,-,-,12.2%,20.3%
Maux,HP,FL,LW,SEA,1/24/2020,G,#00008,#00002,Azhir,W,AR,22.0,17.0,1.29,5.0,96,-,16.9%,13.4%
Maux,HP,FL,LW,SEA,1/24/2020,G,#00005,#00002,St Petro,L,AR,21.0,23.0,0.91,-2.0,60,-,19.1%,17.7%
Octane,HP,SEA,LW,FL,1/24/2020,G,#00005,#00002,St Petro,W,AR,29.0,19.0,1.53,10.0,128,-,22.3%,17.3%
Octane,HP,SEA,LW,FL,1/24/2020,G,#00008,#00002,Azhir,L,AR,18.0,25.0,0.72,-7.0,92,-,14.2%,19.2%
Prestinni,HP,FL,LW,SEA,1/24/2020,G,#00008,#00002,Azhir,W,SMG,32.0,29.0,1.1,3.0,34,-,24.6%,22.8%
Prestinni,HP,FL,LW,SEA,1/24/2020,G,#00005,#00002,St Petro,L,SMG,22.0,34.0,0.65,-12.0,22,-,20.0%,26.2%
Saints,HP,LAG,LW,MIN,1/24/2020,G,#00010,#00003,St Petro,W,SMG,31.0,25.0,1.24,6.0,-,-,25.6%,20.2%
Saints,HP,LAG,LW,MIN,1/24/2020,G,#00013,#00003,Hackney,L,SMG,22.0,24.0,0.92,-2.0,-,-,22.4%,18.0%
Scump,HP,CHI,LW,DAL,1/24/2020,G,#00004,#00001,Gun Runner,W,SMG,35.0,28.0,1.25,7.0,-,-,22.7%,20.6%
Scump,HP,CHI,LW,DAL,1/24/2020,G,#00001,#00001,Azhir,W,SMG,30.0,35.0,0.86,-5.0,-,-,20.5%,25.7%
Shotzzy,HP,DAL,LW,CHI,1/24/2020,G,#00004,#00001,Gun Runner,L,SMG,29.0,29.0,1.0,0.0,-,-,20.9%,19.0%
Shotzzy,HP,DAL,LW,CHI,1/24/2020,G,#00001,#00001,Azhir,L,SMG,21.0,24.0,0.88,-3.0,-,-,15.6%,16.8%
SiLLY,HP,MIN,LW,LAG,1/24/2020,G,#00013,#00003,Hackney,W,Flex,24.0,23.0,1.04,1.0,-,-,18.0%,23.5%
SiLLY,HP,MIN,LW,LAG,1/24/2020,G,#00010,#00003,St Petro,L,Flex,24.0,26.0,0.92,-2.0,-,-,19.4%,21.5%
Skyz,HP,FL,LW,SEA,1/24/2020,G,#00008,#00002,Azhir,W,Flex,30.0,26.0,1.15,4.0,57,-,23.1%,20.5%
Skyz,HP,FL,LW,SEA,1/24/2020,G,#00005,#00002,St Petro,L,Flex,23.0,24.0,0.96,-1.0,70,-,20.9%,18.5%
Slacked,HP,SEA,LW,FL,1/24/2020,G,#00008,#00002,Azhir,L,Flex,23.0,28.0,0.82,-5.0,57,-,18.1%,21.5%
Slacked,HP,SEA,LW,FL,1/24/2020,G,#00005,#00002,St Petro,W,Flex,18.0,22.0,0.82,-4.0,50,-,13.8%,20.0%
aBeZy,HP,ATL,LW,DAL,1/25/2020,G,#00032,#00008,Azhir,W,SMG,33.0,36.0,0.92,-3.0,29,-,19.0%,24.2%
Accuracy,HP,NY,LW,LON,1/25/2020,G,#00014,#00004,Azhir,L,AR,15.0,21.0,0.71,-6.0,53,-,14.3%,17.2%
ACHES,HP,LAG,LW,FL,1/25/2020,G,#00022,#00006,Azhir,L,Flex,23.0,35.0,0.66,-12.0,41,-,21.9%,24.8%
ACHES,HP,LAG,LW,FL,1/25/2020,G,#00025,#00006,Gun Runner,L,Flex,19.0,38.0,0.5,-19.0,45,-,12.8%,23.8%
Apathy,HP,SEA,LW,TOR,1/25/2020,G,#00017,#00005,Gun Runner,W,SMG,31.0,27.0,1.15,4.0,62,-,20.4%,18.6%
Apathy,HP,SEA,LW,TOR,1/25/2020,G,#00020,#00005,Azhir,L,SMG,22.0,24.0,0.92,-2.0,2,-,19.5%,20.0%
AquA,HP,LAG,LW,FL,1/25/2020,G,#00025,#00006,Gun Runner,L,AR,35.0,27.0,1.3,8.0,47,-,23.6%,16.9%
AquA,HP,LAG,LW,FL,1/25/2020,G,#00022,#00006,Azhir,L,AR,12.0,24.0,0.5,-12.0,77,-,11.4%,17.0%
Attach,HP,NY,LW,LON,1/25/2020,G,#00014,#00004,Azhir,L,Flex,26.0,21.0,1.24,5.0,28,-,24.8%,17.2%
Cammy,HP,TOR,LW,SEA,1/25/2020,G,#00017,#00005,Gun Runner,L,Flex,31.0,34.0,0.91,-3.0,38,-,21.4%,21.8%
Cammy,HP,TOR,LW,SEA,1/25/2020,G,#00020,#00005,Azhir,W,Flex,15.0,26.0,0.58,-11.0,4,-,12.5%,23.0%
Cellium,HP,ATL,LW,DAL,1/25/2020,G,#00032,#00008,Azhir,W,AR,33.0,29.0,1.14,4.0,73,-,19.0%,19.5%
Classic,HP,TOR,LW,SEA,1/25/2020,G,#00017,#00005,Gun Runner,L,SMG,28.0,34.0,0.82,-6.0,63,-,19.3%,21.8%
Classic,HP,TOR,LW,SEA,1/25/2020,G,#00020,#00005,Azhir,W,SMG,26.0,29.0,0.9,-3.0,15,-,21.7%,25.7%
Clayster,HP,DAL,LW,ATL,1/25/2020,G,#00032,#00008,Azhir,L,AR,30.0,37.0,0.81,-7.0,83,-,20.1%,21.3%
Crimsix,HP,DAL,LW,ATL,1/25/2020,G,#00032,#00008,Azhir,L,Flex,37.0,34.0,1.09,3.0,36,-,24.8%,19.5%
Dashy,HP,OGLA,LW,PAR,1/25/2020,G,#00027,#00007,Azhir,L,Flex,30.0,30.0,1.0,0.0,66,-,21.3%,19.0%
Dashy,HP,OGLA,LW,PAR,1/25/2020,G,#00030,#00007,St Petro,W,Flex,28.0,22.0,1.27,6.0,82,-,24.1%,18.3%
Decemate,HP,LAG,LW,FL,1/25/2020,G,#00025,#00006,Gun Runner,L,SMG,28.0,34.0,0.82,-6.0,62,-,18.9%,21.3%
Decemate,HP,LAG,LW,FL,1/25/2020,G,#00022,#00006,Azhir,L,SMG,21.0,27.0,0.78,-6.0,41,-,20.0%,19.1%
Denz,HP,PAR,LW,OGLA,1/25/2020,G,#00027,#00007,Azhir,W,AR,36.0,24.0,1.5,12.0,78,-,22.8%,16.9%
Denz,HP,PAR,LW,OGLA,1/25/2020,G,#00030,#00007,St Petro,L,AR,24.0,20.0,1.2,4.0,54,-,20.0%,17.2%
Dylan,HP,LON,LW,NY,1/25/2020,G,#00014,#00004,Azhir,W,SMG,24.0,21.0,1.14,3.0,53,-,19.7%,20.0%
Enable,HP,SEA,LW,TOR,1/25/2020,G,#00017,#00005,Gun Runner,W,SMG,26.0,29.0,0.9,-3.0,31,-,17.1%,20.0%
Enable,HP,SEA,LW,TOR,1/25/2020,G,#00020,#00005,Azhir,L,SMG,23.0,29.0,0.79,-6.0,7,-,20.4%,24.2%
Frosty,HP,FL,LW,LAG,1/25/2020,G,#00025,#00006,Gun Runner,W,Flex,36.0,32.0,1.13,4.0,36,-,22.5%,21.6%
Frosty,HP,FL,LW,LAG,1/25/2020,G,#00022,#00006,Azhir,W,Flex,28.0,22.0,1.27,6.0,27,-,19.9%,20.8%
Havok,HP,FL,LW,LAG,1/25/2020,G,#00025,#00006,Gun Runner,W,SMG,33.0,34.0,0.97,-1.0,16,-,20.6%,23.0%
Havok,HP,FL,LW,LAG,1/25/2020,G,#00022,#00006,Azhir,W,SMG,27.0,23.0,1.17,4.0,92,-,19.1%,21.7%
Huke,HP,DAL,LW,ATL,1/25/2020,G,#00032,#00008,Azhir,L,SMG,37.0,32.0,1.16,5.0,54,-,24.8%,18.4%
iLLey,HP,DAL,LW,ATL,1/25/2020,G,#00032,#00008,Azhir,L,Flex,25.0,35.0,0.71,-10.0,38,-,16.8%,20.1%
JKap,HP,OGLA,LW,PAR,1/25/2020,G,#00027,#00007,Azhir,L,Flex,22.0,33.0,0.67,-11.0,52,-,15.6%,20.9%
JKap,HP,OGLA,LW,PAR,1/25/2020,G,#00030,#00007,St Petro,W,Flex,19.0,24.0,0.79,-5.0,35,-,16.4%,20.0%
Jurd,HP,LON,LW,NY,1/25/2020,G,#00014,#00004,Azhir,W,SMG,21.0,25.0,0.84,-4.0,33,-,17.2%,23.8%
Karma,HP,SEA,LW,TOR,1/25/2020,G,#00017,#00005,Gun Runner,W,Flex,34.0,33.0,1.03,1.0,101,-,22.4%,22.8%
Karma,HP,SEA,LW,TOR,1/25/2020,G,#00020,#00005,Azhir,L,Flex,17.0,23.0,0.74,-6.0,53,-,15.0%,19.2%
Kenny,HP,OGLA,LW,PAR,1/25/2020,G,#00027,#00007,Azhir,L,SMG,34.0,29.0,1.17,5.0,29,-,24.1%,18.4%
Kenny,HP,OGLA,LW,PAR,1/25/2020,G,#00030,#00007,St Petro,W,SMG,20.0,19.0,1.05,1.0,104,-,17.2%,15.8%
KiSMET,HP,PAR,LW,OGLA,1/25/2020,G,#00027,#00007,Azhir,W,SMG,34.0,37.0,0.92,-3.0,72,-,21.5%,26.1%
KiSMET,HP,PAR,LW,OGLA,1/25/2020,G,#00030,#00007,St Petro,L,SMG,26.0,25.0,1.04,1.0,64,-,21.7%,21.6%
Lacefield,HP,LAG,LW,FL,1/25/2020,G,#00022,#00006,Azhir,L,Flex,31.0,24.0,1.29,7.0,9,-,29.5%,17.0%
Lacefield,HP,LAG,LW,FL,1/25/2020,G,#00025,#00006,Gun Runner,L,Flex,30.0,27.0,1.11,3.0,12,-,20.3%,16.9%
Loony,HP,TOR,LW,SEA,1/25/2020,G,#00017,#00005,Gun Runner,L,SMG,28.0,28.0,1.0,0.0,31,-,19.3%,17.9%
Loony,HP,TOR,LW,SEA,1/25/2020,G,#00020,#00005,Azhir,W,SMG,23.0,15.0,1.53,8.0,105,-,19.2%,13.3%
Louqa,HP,PAR,LW,OGLA,1/25/2020,G,#00027,#00007,Azhir,W,Flex,22.0,25.0,0.88,-3.0,39,-,13.9%,17.6%
Louqa,HP,PAR,LW,OGLA,1/25/2020,G,#00030,#00007,St Petro,L,Flex,21.0,22.0,0.95,-1.0,60,-,17.5%,19.0%
MajorManiak,HP,ATL,LW,DAL,1/25/2020,G,#00032,#00008,Azhir,W,Flex,30.0,28.0,1.07,2.0,34,-,17.2%,18.8%
Maux,HP,FL,LW,LAG,1/25/2020,G,#00022,#00006,Azhir,W,AR,28.0,17.0,1.65,11.0,92,-,19.9%,16.0%
Maux,HP,FL,LW,LAG,1/25/2020,G,#00025,#00006,Gun Runner,W,AR,26.0,22.0,1.18,4.0,79,-,16.3%,14.9%
Methodz,HP,TOR,LW,SEA,1/25/2020,G,#00020,#00005,Azhir,W,AR,30.0,17.0,1.76,13.0,57,-,25.0%,15.0%
Methodz,HP,TOR,LW,SEA,1/25/2020,G,#00017,#00005,Gun Runner,L,AR,29.0,30.0,0.97,-1.0,61,-,20.0%,19.2%
MeTTalZz,HP,TOR,LW,SEA,1/25/2020,G,#00017,#00005,Gun Runner,L,Flex,29.0,30.0,0.97,-1.0,61,-,20.0%,19.2%
MeTTalZz,HP,TOR,LW,SEA,1/25/2020,G,#00020,#00005,Azhir,W,Flex,26.0,26.0,1.0,0.0,39,-,21.7%,23.0%
Octane,HP,SEA,LW,TOR,1/25/2020,G,#00017,#00005,Gun Runner,W,AR,28.0,27.0,1.04,1.0,105,-,18.4%,18.6%
Octane,HP,SEA,LW,TOR,1/25/2020,G,#00020,#00005,Azhir,L,AR,26.0,20.0,1.3,6.0,98,-,23.0%,16.7%
Prestinni,HP,FL,LW,LAG,1/25/2020,G,#00025,#00006,Gun Runner,W,SMG,33.0,33.0,1.0,0.0,33,-,20.6%,22.3%
Prestinni,HP,FL,LW,LAG,1/25/2020,G,#00022,#00006,Azhir,W,SMG,26.0,26.0,1.0,0.0,44,-,18.4%,24.5%
Priestahh,HP,ATL,LW,DAL,1/25/2020,G,#00032,#00008,Azhir,W,Flex,38.0,28.0,1.36,10.0,34,-,21.8%,18.8%
Rated,HP,LON,LW,NY,1/25/2020,G,#00014,#00004,Azhir,W,Flex,23.0,20.0,1.15,3.0,48,-,18.9%,19.0%
Saints,HP,LAG,LW,FL,1/25/2020,G,#00025,#00006,Gun Runner,L,SMG,36.0,34.0,1.06,2.0,12,-,24.3%,21.3%
Saints,HP,LAG,LW,FL,1/25/2020,G,#00022,#00006,Azhir,L,SMG,18.0,31.0,0.58,-13.0,32,-,17.1%,22.0%
Shockz,HP,PAR,LW,OGLA,1/25/2020,G,#00027,#00007,Azhir,W,Flex,36.0,25.0,1.44,11.0,37,-,22.8%,17.6%
Shockz,HP,PAR,LW,OGLA,1/25/2020,G,#00030,#00007,St Petro,L,Flex,28.0,24.0,1.17,4.0,44,-,23.3%,20.7%
Shotzzy,HP,DAL,LW,ATL,1/25/2020,G,#00032,#00008,Azhir,L,SMG,20.0,36.0,0.56,-16.0,45,-,13.4%,20.7%
Simp,HP,ATL,LW,DAL,1/25/2020,G,#00032,#00008,Azhir,W,SMG,40.0,28.0,1.43,12.0,19,-,23.0%,18.8%
Skrapz,HP,LON,LW,NY,1/25/2020,G,#00014,#00004,Azhir,W,Flex,28.0,23.0,1.22,5.0,51,-,23.0%,21.9%
Skyz,HP,FL,LW,LAG,1/25/2020,G,#00025,#00006,Gun Runner,W,Flex,32.0,27.0,1.19,5.0,122,-,20.0%,18.2%
Skyz,HP,FL,LW,LAG,1/25/2020,G,#00022,#00006,Azhir,W,Flex,32.0,18.0,1.78,14.0,102,-,22.7%,17.0%
Slacked,HP,SEA,LW,TOR,1/25/2020,G,#00017,#00005,Gun Runner,W,Flex,33.0,29.0,1.14,4.0,31,-,21.7%,20.0%
Slacked,HP,SEA,LW,TOR,1/25/2020,G,#00020,#00005,Azhir,L,Flex,25.0,24.0,1.04,1.0,50,-,22.1%,20.0%
Slasher,HP,OGLA,LW,PAR,1/25/2020,G,#00030,#00007,St Petro,W,AR,24.0,25.0,0.96,-1.0,34,-,20.7%,20.8%
Slasher,HP,OGLA,LW,PAR,1/25/2020,G,#00027,#00007,Azhir,L,AR,23.0,29.0,0.79,-6.0,34,-,16.3%,18.4%
Temp,HP,NY,LW,LON,1/25/2020,G,#00014,#00004,Azhir,L,SMG,15.0,28.0,0.54,-13.0,34,-,14.3%,23.0%
TJHaly,HP,OGLA,LW,PAR,1/25/2020,G,#00027,#00007,Azhir,L,SMG,32.0,37.0,0.86,-5.0,49,-,22.7%,23.4%
TJHaly,HP,OGLA,LW,PAR,1/25/2020,G,#00030,#00007,St Petro,W,SMG,25.0,30.0,0.83,-5.0,50,-,21.6%,25.0%
wuskin,HP,LON,LW,NY,1/25/2020,G,#00014,#00004,Azhir,W,AR,26.0,16.0,1.63,10.0,70,-,21.3%,15.2%
Zed,HP,PAR,LW,OGLA,1/25/2020,G,#00027,#00007,Azhir,W,SMG,30.0,31.0,0.97,-1.0,42,-,19.0%,21.8%
Zed,HP,PAR,LW,OGLA,1/25/2020,G,#00030,#00007,St Petro,L,SMG,21.0,25.0,0.84,-4.0,99,-,17.5%,21.6%
Zer0,HP,NY,LW,LON,1/25/2020,G,#00014,#00004,Azhir,L,Flex,24.0,25.0,0.96,-1.0,21,-,22.9%,20.5%
ZooMaa,HP,NY,LW,LON,1/25/2020,G,#00014,#00004,Azhir,L,SMG,25.0,27.0,0.93,-2.0,21,-,23.8%,22.1%
aBeZy,HP,ATL,LW,NY,1/26/2020,G,#00041,#00011,Gun Runner,W,SMG,29.0,37.0,0.78,-8.0,45,-,17.8%,25.2%
aBeZy,HP,ATL,LW,NY,1/26/2020,G,#00044,#00011,St Petro,W,SMG,17.0,19.0,0.89,-2.0,78,-,12.9%,22.6%
Accuracy,HP,NY,LW,ATL,1/26/2020,G,#00041,#00011,Gun Runner,L,AR,22.0,33.0,0.67,-11.0,65,-,15.0%,20.2%
Accuracy,HP,NY,LW,ATL,1/26/2020,G,#00044,#00011,St Petro,L,AR,19.0,26.0,0.73,-7.0,35,-,22.6%,19.7%
Alexx,HP,MIN,LW,TOR,1/26/2020,G,#00045,#00012,Hackney,W,SMG,31.0,28.0,1.11,3.0,25,-,22.6%,20.1%
Alexx,HP,MIN,LW,TOR,1/26/2020,G,#00048,#00012,Azhir,W,SMG,28.0,28.0,1.0,0.0,20,-,20.0%,25.2%
Arcitys,HP,CHI,LW,OGLA,1/26/2020,G,#00038,#00010,Azhir,W,AR,26.0,25.0,1.04,1.0,45,-,17.2%,17.5%
Asim,HP,MIN,LW,TOR,1/26/2020,G,#00048,#00012,Azhir,W,SMG,24.0,24.0,1.0,0.0,83,-,17.1%,21.6%
Asim,HP,MIN,LW,TOR,1/26/2020,G,#00045,#00012,Hackney,W,SMG,21.0,30.0,0.7,-9.0,56,-,15.3%,21.6%
Assault,HP,MIN,LW,TOR,1/26/2020,G,#00048,#00012,Azhir,W,AR,28.0,18.0,1.56,10.0,71,-,20.0%,16.2%
Assault,HP,MIN,LW,TOR,1/26/2020,G,#00045,#00012,Hackney,W,AR,25.0,30.0,0.83,-5.0,43,-,18.2%,21.6%
Attach,HP,NY,LW,ATL,1/26/2020,G,#00041,#00011,Gun Runner,L,Flex,34.0,29.0,1.17,5.0,63,-,23.1%,17.8%
Attach,HP,NY,LW,ATL,1/26/2020,G,#00044,#00011,St Petro,L,Flex,13.0,30.0,0.43,-17.0,53,-,15.5%,22.7%
Cammy,HP,TOR,LW,MIN,1/26/2020,G,#00045,#00012,Hackney,L,Flex,27.0,23.0,1.17,4.0,54,-,19.4%,16.8%
Cammy,HP,TOR,LW,MIN,1/26/2020,G,#00048,#00012,Azhir,L,Flex,27.0,28.0,0.96,-1.0,39,-,24.5%,20.1%
Cellium,HP,ATL,LW,NY,1/26/2020,G,#00041,#00011,Gun Runner,W,AR,42.0,27.0,1.56,15.0,27,-,25.8%,18.4%
Cellium,HP,ATL,LW,NY,1/26/2020,G,#00044,#00011,St Petro,W,AR,32.0,19.0,1.68,13.0,44,-,24.2%,22.6%
Classic,HP,TOR,LW,MIN,1/26/2020,G,#00045,#00012,Hackney,L,SMG,30.0,34.0,0.88,-4.0,98,-,21.6%,24.8%
Classic,HP,TOR,LW,MIN,1/26/2020,G,#00048,#00012,Azhir,L,SMG,23.0,32.0,0.72,-9.0,19,-,20.9%,23.0%
Dashy,HP,OGLA,LW,CHI,1/26/2020,G,#00038,#00010,Azhir,L,Flex,37.0,29.0,1.28,8.0,50,-,25.9%,19.1%
Denz,HP,PAR,LW,LON,1/26/2020,G,#00035,#00009,Rammaza,W,AR,26.0,18.0,1.44,8.0,134,-,21.5%,17.1%
Dylan,HP,LON,LW,PAR,1/26/2020,G,#00035,#00009,Rammaza,L,SMG,32.0,29.0,1.1,3.0,32,-,30.5%,24.0%
Envoy,HP,CHI,LW,OGLA,1/26/2020,G,#00038,#00010,Azhir,W,SMG,37.0,27.0,1.37,10.0,59,-,24.5%,18.9%
FormaL,HP,CHI,LW,OGLA,1/26/2020,G,#00038,#00010,Azhir,W,Flex,23.0,24.0,0.96,-1.0,32,-,15.2%,16.8%
GodRx,HP,MIN,LW,TOR,1/26/2020,G,#00045,#00012,Hackney,W,Flex,33.0,25.0,1.32,8.0,66,-,24.1%,18.0%
GodRx,HP,MIN,LW,TOR,1/26/2020,G,#00048,#00012,Azhir,W,Flex,30.0,18.0,1.67,12.0,42,-,21.4%,16.2%
Gunless,HP,CHI,LW,OGLA,1/26/2020,G,#00038,#00010,Azhir,W,Flex,35.0,35.0,1.0,0.0,112,-,23.2%,24.5%
JKap,HP,OGLA,LW,CHI,1/26/2020,G,#00038,#00010,Azhir,L,Flex,24.0,33.0,0.73,-9.0,59,-,16.8%,21.7%
Jurd,HP,LON,LW,PAR,1/26/2020,G,#00035,#00009,Rammaza,L,SMG,17.0,29.0,0.59,-12.0,45,-,16.2%,24.0%
Kenny,HP,OGLA,LW,CHI,1/26/2020,G,#00038,#00010,Azhir,L,SMG,30.0,25.0,1.2,5.0,5,-,21.0%,16.4%
KiSMET,HP,PAR,LW,LON,1/26/2020,G,#00035,#00009,Rammaza,W,SMG,32.0,26.0,1.23,6.0,26,-,26.4%,24.8%
Loony,HP,TOR,LW,MIN,1/26/2020,G,#00048,#00012,Azhir,L,SMG,20.0,27.0,0.74,-7.0,50,-,18.2%,19.4%
Loony,HP,TOR,LW,MIN,1/26/2020,G,#00045,#00012,Hackney,L,SMG,20.0,31.0,0.65,-11.0,32,-,14.4%,22.6%
Louqa,HP,PAR,LW,LON,1/26/2020,G,#00035,#00009,Rammaza,W,Flex,23.0,20.0,1.15,3.0,89,-,19.0%,19.0%
MajorManiak,HP,ATL,LW,NY,1/26/2020,G,#00041,#00011,Gun Runner,W,Flex,24.0,24.0,1.0,0.0,54,-,14.7%,16.3%
MajorManiak,HP,ATL,LW,NY,1/26/2020,G,#00044,#00011,St Petro,W,Flex,21.0,14.0,1.5,7.0,96,-,15.9%,16.7%
Methodz,HP,TOR,LW,MIN,1/26/2020,G,#00045,#00012,Hackney,L,AR,29.0,26.0,1.12,3.0,29,-,20.9%,19.0%
Methodz,HP,TOR,LW,MIN,1/26/2020,G,#00048,#00012,Azhir,L,AR,19.0,23.0,0.83,-4.0,7,-,17.3%,16.5%
MeTTalZz,HP,TOR,LW,MIN,1/26/2020,G,#00045,#00012,Hackney,L,Flex,33.0,23.0,1.43,10.0,43,-,23.7%,16.8%
